long,lat,ps_q_test_data,ps_q_predicted,residual
-128.83,49.01,-21.98124123,-23.839416333699628,1.8581751036996295
-122.88,39.7,69.20287323,57.28461426125574,11.918258968744254
-123.5,48.59,24.44232368,17.77068748142395,6.671636198576053
-120.64,40.4,-5.224923134,4.509910511750201,-9.7348336457502
-128.71,48.46,-10.74924183,-10.684576974031318,-0.0646648559686831
-128.63,48.39,0.947541118,1.2023180400393212,-0.25477692203932123
-121.48,46.71,63.31586838,10.246929511996221,53.06893886800378
-127.8,47.73,-0.975069642,-0.3358095791366651,-0.6392600628633349
-127.78,47.7,1.003651619,0.11437971040770209,0.8892719085922979
-127.97,44.81,-9.246604919,-8.444215257121364,-0.8023896618786353
-119.95,43.55,19.53007507,18.005175375839286,1.5248996941607125
-128.64,48.46,-10.74924183,-10.310569074177332,-0.43867275582266885
-127.59,47.84,-0.419886947,0.07397503139685446,-0.4938619783968545
-127.78,47.72,1.003651619,0.22443692760182166,0.7792146913981783
-121.24,45.7,-34.41330338,-29.416165016010815,-4.997138363989187
-123.82,50.06,-116.0660172,-87.0252272759865,-29.04078992401351
-122.2,45.77,36.1395874,20.85688264880497,15.282704751195034
-123.17,49.61,-85.60023499,-56.96601102496578,-28.634223965034224
-128.75,48.82,-29.66418266,-30.818181384667625,1.1539987246676233
-130.43,50.13,-2.300307989,-1.7413214683939533,-0.5589865206060469
-127.5,47.82,-0.675474346,-5.520865542426734,4.845391196426735
-128.68,48.43,-10.74924183,-10.310569074177332,-0.43867275582266885
-128.61,48.42,2.668863773,3.3580033194598635,-0.6891395464598635
-127.54,41.0,-37.00662231,-38.18719356583539,1.180571255835396
-120.64,40.44,-5.224923134,1.012895673767391,-6.2378188077673915
-119.75,39.39,5.977461815,7.413494514047728,-1.4360326990477281
-128.69,48.5,-10.74924183,-11.308626661491125,0.5593848314911245
-128.68,48.43,-10.74924183,-10.310569074177332,-0.43867275582266885
-127.79,47.72,1.003651619,-0.10605894385298578,1.1097105628529857
-130.45,50.14,-2.300307989,-2.7195146926313747,0.41920670363137447
-129.22,48.8,-17.66074944,-16.106668612736975,-1.554080827263025
-128.78,48.47,-13.25694942,-12.255554334739244,-1.0013950852607554
-129.79,50.3,-17.49588585,-12.372477778482953,-5.123408071517048
-128.76,48.49,-13.25694942,-13.991878454798572,0.7349290347985722
-128.8,48.43,-13.25694942,-10.593029893321225,-2.663919526678775
-127.87,47.86,3.526834726,-0.5377977163888228,4.064632442388823
-127.79,47.77,-0.975069642,-0.3358095791366651,-0.6392600628633349
-128.65,48.46,-10.74924183,-10.881077687224145,0.1318358572241447
-128.75,48.44,-13.25694942,-11.657036428911105,-1.5999129910888943
-122.75,38.86,30.45727158,34.865316320543364,-4.408044740543364
-121.96,45.07,17.84023285,19.763060860778182,-1.9228280107781828
-122.13,45.61,-28.07614899,-24.127311815527285,-3.9488371744727147
-128.58,47.95,-5.80466938,-5.3893191316576905,-0.4153502483423095
-122.64,38.89,21.14631844,21.64509384689576,-0.49877540689575994
-128.75,47.91,-10.49689579,-8.120189033754196,-2.376706756245804
-121.7,47.03,3.089298725,23.603437977715046,-20.514139252715047
-122.13,48.92,-39.89882278,-38.155146519534554,-1.743676260465449
-119.12,40.47,-19.89662361,2.9105820931046176,-22.807205703104618
-127.4,47.79,-4.742084503,-3.1565614208764488,-1.5855230821235513
-128.83,47.93,-10.49689579,-8.423546712189552,-2.073349077810448
-121.87,41.74,-2.013237953,-4.670490383799941,2.6572524307999412
-127.79,47.7,1.003651619,0.11437971040770209,0.8892719085922979
-122.5,38.67,36.16465378,37.22828400569228,-1.063630225692279
-125.14,44.66,-24.02614021,-23.1423027380949,-0.8838374719050996
-130.12,47.15,-3.51950264,-4.393005494628775,0.8735028546287751
-128.68,48.44,-10.74924183,-10.310569074177332,-0.43867275582266885
-125.94,46.98,-14.90505123,-20.336033628996223,5.430982398996223
-124.89,50.83,-26.31177711,-28.11726682906562,1.8054897190656192
-128.93,49.09,-19.04327583,-18.01001393455223,-1.0332618954477688
-125.53,46.8,-17.84498596,-22.434125513860835,4.589139553860836
-126.19,46.67,-29.47881699,-27.285210199217047,-2.193606790782951
-128.62,47.95,-5.80466938,-5.326869119546281,-0.47780026045371926
-128.6,47.93,-5.80466938,-5.459619159064993,-0.3450502209350068
-121.0,45.04,-7.069908142,-8.675680342384123,1.6057722003841226
-121.89,44.75,18.00877953,10.099872828829698,7.908906701170304
-128.61,47.88,-5.80466938,-5.315944310022934,-0.48872506997706555
-119.43,40.44,-14.39539051,-9.890043093847812,-4.505347416152189
-128.67,48.46,-10.74924183,-10.684576974031318,-0.0646648559686831
-129.09,47.95,-1.580559015,-0.14482083838381113,-1.4357381766161887
-127.78,47.69,1.003651619,-0.10605894385298578,1.1097105628529857
-127.88,47.73,-0.58204329,-2.052762173139252,1.4707188831392517
-127.55,40.91,-44.38734818,-37.54146838153772,-6.845879798462278
-126.81,48.7,-33.3253479,-33.31049952059648,-0.014848379403517242
-128.6,47.93,-5.80466938,-5.459619159064993,-0.3450502209350068
-126.18,46.74,-26.99987602,-30.16468368344349,3.16480766344349
-127.68,47.86,3.032176971,0.07397503139685446,2.958201939603146
-122.11,46.35,62.2167778,21.787013159857622,40.42976464014238
-126.88,48.67,-27.44796753,-32.094451674890855,4.646484144890856
-126.86,48.67,-33.3253479,-32.244694774866225,-1.0806531251337717
-128.55,47.89,-5.80466938,-5.318780561742701,-0.48588881825729935
-128.55,47.92,-5.80466938,-5.224176696502365,-0.5804926834976349
-128.72,49.08,-20.34945679,-18.934839678464815,-1.4146171115351862
-128.68,48.44,-10.74924183,-10.310569074177332,-0.43867275582266885
-127.75,47.78,-0.975069642,-0.04158651631347195,-0.933483125686528
-123.3,44.61,34.0663414,-6.45286661417933,40.51920801417933
-122.83,46.53,-35.00421906,-30.14253913142077,-4.861679928579228
-130.0,49.62,2.02973175,-0.4411563960669155,2.4708881460669154
-126.9,48.66,-27.44796753,-32.42904288081959,4.981075350819587
-125.95,46.98,-35.51718903,-25.496289963386364,-10.020899066613634
-123.83,37.93,-83.89137268,-44.26129457357337,-39.63007810642663
-119.34,40.88,-26.55411148,-23.609267906869427,-2.944843573130573
-128.54,48.46,8.065933228,-4.0066265320550825,12.072559760055082
-128.63,48.46,-10.74924183,-7.652699691452506,-3.0965421385474947
-128.6,48.44,8.065933228,2.3862040437095033,5.679729184290498
-120.15,51.73,40.15061188,-9.535506666814449,49.68611854681445
-122.61,38.76,18.75132561,20.79937892936809,-2.0480533193680905
-128.82,47.91,-10.49689579,-10.501424206533054,0.004528416533053914
-124.05,49.87,-55.02227402,-59.49333799487775,4.471063974877751
-129.26,47.99,-1.18818295,2.297763643654009,-3.485946593654009
-127.67,47.84,-0.419886947,0.07397503139685446,-0.4938619783968545
-127.73,47.78,-0.975069642,-0.3358095791366651,-0.6392600628633349
