long,lat,ps_q_test_data,ps_q_predicted,residual
-128.6767,48.4633,2769.2029863319,2768.011678674785,1.1913076571149759
-128.7533333,48.82166667,2789.7738354735,2842.40631826015,-52.63248278664969
-129.095,47.9528,2560.127769167,2564.8980804193106,-4.770311252310421
-127.776,47.7079,3131.0809615255,3131.0045831903126,0.07637833518720072
-127.491,47.8183,3186.440242665,3191.0299790733056,-4.5897364083057255
-127.718,47.7543,3142.6228468161,3146.383000246375,-3.7601534302752952
-128.705,47.8992,2834.3047659322,2833.4194878494113,0.8852780827887727
-127.729,47.7563,3142.6228468161,3144.037943436275,-1.4150966201750634
-128.82,48.39,2754.9414054739,2757.6574382608596,-2.7160327869596586
-128.83,47.9247,2784.956400744,2785.987374519949,-1.0309737759489508
-128.627,47.9383,2878.245212131,2878.3105013384284,-0.06528920742857736
-128.64,48.45,2825.8179495516,2826.3012405022914,-0.48329095069129835
-129.0833333,48.535,2724.991199939,2706.977936849559,18.013263089441352
-128.6417,48.4017,2855.8739348421,2855.3768389581946,0.497095883905331
-128.6777,48.4393,2811.7491632707,2812.0816712009564,-0.3325079302562699
-128.68,48.44,2811.7491632707,2811.7570808699484,-0.007917599248230545
-126.478,48.2142,3355.6809849471,3355.4830022540277,0.19798269307239025
-128.63,48.45,2825.8179495516,2827.8660520877575,-2.04810253615733
-128.591,47.9416,2878.245212131,2877.7241780902345,0.5210340407652438
-128.599,47.9155,2878.245212131,2878.3306968679317,-0.08548473693190317
-127.592,47.9113,3150.368866106,3150.273971552738,0.09489455326183815
-128.5933,48.4167,2855.8739348421,2855.347271618944,0.5266632231559925
-127.7045,47.8953,3125.1944595484,3125.4607264593556,-0.2662669109554372
-127.7,47.8918,3125.1944595484,3124.7635992129085,0.43086033549161584
-128.7,48.48,2769.2029863319,2769.0300999780197,0.17288635388013063
-127.714,47.7318,3154.2857068972,3153.5564900707745,0.7292168264252723
-126.87,48.665,3324.081514627,3328.218350847486,-4.136836220485748
-128.6333,48.4483,2855.8739348421,2854.2063514040988,1.667583438001202
-129.3,48.0,2760.5583621283,2799.1883271184483,-38.62996499014844
-129.095,47.9541,2560.127769167,2559.809632841871,0.31813632512921686
-128.72,48.46,2769.2029863319,2768.4544594284616,0.7485269034382327
-128.6265,47.9383,2878.245212131,2878.346972074048,-0.10175994304836422
-127.699,47.77,3142.6228468161,3142.305264429189,0.31758238691099905
-128.5313,47.8872,2916.2232904344,2918.0365827643195,-1.8132923299194772
-128.78,48.42,2754.9414054739,2756.2107855135705,-1.2693800396705228
-126.556,48.1787,3337.1052736962,3340.1079046742766,-3.0026309780764677
-128.66,48.47,2769.2029863319,2772.94829833749,-3.745312005590222
-128.8517,48.43,2676.6741064786,2716.469378897231,-39.7952724186307
-129.15,48.0,2685.639247736,2671.887014963109,13.752232772891148
-128.574,47.9115,2878.245212131,2878.498717309949,-0.2535051789491263
-127.7864,47.7098,3131.0809615255,3131.0152424072508,0.06571911824903509
-128.67,47.9132,2834.3047659322,2833.9605616685776,0.3442042636224869
-128.6383,48.42,2855.8739348421,2855.469665123674,0.4042697184258941
-128.591,47.9313,2878.245212131,2878.2476763117347,-0.0024641807349325973
-128.706,48.4584,2769.2029863319,2769.269121880568,-0.0661355486681714
-127.7557,47.8427,3122.2963090442,3124.4828880263626,-2.1865789821627004
-126.82,48.6933,3339.4387916936,3342.4762452693776,-3.0374535757778176
-128.698,48.46,2769.2029863319,2769.269121880568,-0.0661355486681714
-128.7083,48.46,2769.2029863319,2769.269121880568,-0.0661355486681714
-128.72,48.45,2769.2029863319,2771.3201491966365,-2.117162864736656
-128.7092,48.4551,2769.2029863319,2769.269121880568,-0.0661355486681714
-128.79,48.4233,2754.9414054739,2754.767271967731,0.17413350616880052
-128.5783,48.4667,2825.8179495516,2824.2521569955347,1.5657925560653894
-129.095,47.955,2560.127769167,2559.645188161571,0.48258100542943794
-127.805,47.748,3131.0809615255,3131.5679319449655,-0.4869704194657061
-128.6833,48.4517,2769.2029863319,2769.4764379918565,-0.2734516599566632
-128.7049,48.4549,2769.2029863319,2769.269121880568,-0.0661355486681714
-127.781,47.7207,3131.0809615255,3131.0045831903126,0.07637833518720072
-128.605,47.9447,2878.245212131,2878.087009305966,0.1582028250336407
-126.78,48.7067,3339.4387916936,3333.012189370524,6.426602323075713
-128.645,48.33333333,2859.2041491269,2848.0212657694133,11.182883357486844
-128.6666667,48.55166667,2734.6733322088,2742.462477955406,-7.789145746606209
-128.7933333,48.82166667,2789.7738354735,2876.7795319392667,-87.0056964657665
-129.094,47.9533,2560.127769167,2556.953817745458,3.1739514215423696
-128.818,47.9224,2784.956400744,2785.73598821404,-0.7795874700400418
-128.7517,48.3883,2754.9414054739,2754.8527311558487,0.08867431805128945
-127.785,47.8473,3122.2963090442,3122.1323875115872,0.16392153261267595
-128.7095,48.4556,2769.2029863319,2769.269121880568,-0.0661355486681714
-129.096,47.9567,2560.127769167,2562.667543768836,-2.5397746018356884
-128.7037,48.463,2769.2029863319,2769.8149388723155,-0.6119525404155866
-128.7767,48.33,2758.2239064746,2756.3138241849792,1.910082289620732
-127.765,47.7054,3131.0809615255,3131.0045831903126,0.07637833518720072
-128.6033,48.415,2855.8739348421,2855.3768389581946,0.497095883905331
-128.7616667,48.69666667,2632.2646063768,2674.295402661287,-42.03079628448677
-128.698,48.4383,2811.7491632707,2811.5649850850564,0.1841781856437592
-128.586,47.9293,2878.245212131,2878.6162588903912,-0.37104675939144727
-128.65,48.42,2811.7491632707,2811.700756673155,0.048406597545181285
-128.79,48.385,2754.9414054739,2754.4757483711646,0.4656571027353493
-128.576,47.9387,2878.245212131,2878.285338907296,-0.04012677629634709
-128.715,48.39,2811.7491632707,2811.7176285118835,0.03153475881663326
-128.4167,48.4367,2908.800344606,2898.972371604067,9.82797300193306
-127.7853,47.7095,3131.0809615255,3131.0152424072508,0.06571911824903509
-128.629,47.9399,2878.245212131,2878.2476763117347,-0.0024641807349325973
-128.7217,48.3883,2811.7491632707,2811.6625361632387,0.0866271074614815
-128.658,47.8938,2834.3047659322,2835.45873596002,-1.1539700278199234
-128.541,47.8653,2916.2232904344,2916.0125781641527,0.21071227024731343
-128.48,48.4433,2882.6872695165,2880.8036905752015,1.8835789412983104
-128.6675,47.8612,2834.3047659322,2835.576925024328,-1.272159092127822
-128.76,48.44,2754.9414054739,2755.334786924409,-0.39338145050896856
-127.711,47.8473,3142.6228468161,3141.406687317246,1.2161594988538127
-127.576,47.836,3162.108405399,3170.2403332989193,-8.131927899919447
-128.6822,48.4287,2811.7491632707,2811.6441223588317,0.10504091186840014
-128.6567,48.445,2811.7491632707,2812.329675639047,-0.5805123683467173
-127.746,47.719,3154.2857068972,3151.9150559607237,2.3706509364760677
-128.62,48.46,2825.8179495516,2826.0250220733924,-0.20707252179226998
-128.671,47.8921,2834.3047659322,2832.888940215422,1.4158257167782722
-128.69,48.44,2811.7491632707,2811.6187912265023,0.13037204419788395
-128.7123,48.454,2769.2029863319,2768.91101329783,0.2919730340699971
-128.7089,48.4552,2769.2029863319,2769.2724165675195,-0.06943023561962036
-128.53,48.4483,2882.6872695165,2882.7920199995833,-0.10475048308353507
-128.603,47.944,2878.245212131,2878.087009305966,0.1582028250336407
-128.619,47.9355,2878.245212131,2878.2476763117347,-0.0024641807349325973
-128.613,47.9342,2878.245212131,2878.02255100771,0.22266112328998133
-128.7051,48.454,2769.2029863319,2769.2724165675195,-0.06943023561962036
-128.7783,48.3517,2754.9414054739,2756.0544894189043,-1.1130839450042913
-128.6577,47.9115,2834.3047659322,2833.4065553153455,0.8982106168546125
-128.7117,48.4569,2769.2029863319,2768.8676537444185,0.33533258748138906
-128.7117,48.4183,2811.7491632707,2811.7176285118835,0.03153475881663326
-126.87,48.6717,3324.081514627,3323.2158808266777,0.8656338003224846
-127.762,47.7086,3131.0809615255,3131.0045831903126,0.07637833518720072
-127.3775,47.7827,3209.5933180351,3212.1723787165133,-2.5790606814134662
-128.676,47.915,2834.3047659322,2834.19652338206,0.10824255013994843
-128.6317,48.45,2825.8179495516,2825.3349506947648,0.4829988568353656
-127.7858,47.7102,3131.0809615255,3131.0152424072508,0.06571911824903509
-128.5492,47.9237,2916.2232904344,2892.004224613276,24.219065821123877
-128.7076,48.4644,2769.2029863319,2769.4967397286587,-0.2937533967588024
