long,lat,ps_q_test_data,ps_q_predicted,residual
-128.79,48.82,-29.66418266,-23.9091698334963,-5.755012826503702
-126.4,48.25,-23.99115753,-34.315122671327465,10.323965141327466
-130.41,50.11,-2.300307989,-0.2423059801718347,-2.0580020088281654
-125.94,47.08,-4.992900848,-9.723112094050736,4.730211246050736
-126.51,48.2,-40.74657059,-39.98064251285504,-0.7659280771449559
-122.9,43.95,-36.44744873,-25.8846379932062,-10.562810736793796
-120.38,41.73,-2.09282589,-0.20997389848815004,-1.8828519915118498
-128.78,48.42,-3.627408266,-4.256623617721884,0.6292153517218835
-128.82,47.91,-10.49689579,-10.95148062960402,0.45458483960402063
-127.73,47.76,-0.975069642,-0.22915771477252117,-0.7459119272274788
-128.66,48.43,-10.74924183,-10.312383871753454,-0.43685795824654683
-128.25,49.18,-26.03686333,-22.814869039634868,-3.2219942903651315
-121.7,46.1,25.17150688,24.165436021346135,1.0060708586538638
-128.72,48.46,-10.74924183,-10.76190997918146,0.012668149181459754
-128.61,47.93,-5.80466938,-5.664600323755542,-0.14006905624445842
-126.48,48.21,-40.74657059,-34.97416397492248,-5.772406615077514
-120.14,45.7,-41.06179047,-24.873973632746935,-16.187816837253063
-128.71,48.46,-10.74924183,-10.76190997918146,0.012668149181459754
-127.78,47.71,1.003651619,0.31430668125738026,0.6893449377426197
-119.74,39.4,5.977461815,8.614727798071568,-2.6372659830715683
-128.68,48.44,-10.74924183,-10.137951517321799,-0.6112903126782019
-127.79,47.7,1.003651619,0.31430668125738026,0.6893449377426197
-127.42,40.6,-30.74068832,-10.434497904626493,-20.306190415373507
-126.14,46.68,-36.80311203,-32.97076125096696,-3.8323507790330424
-119.42,40.46,-14.39539051,-10.77844804087709,-3.616942469122911
-128.66,48.46,-10.74924183,-10.936342333613116,0.1871005036131148
-127.72,47.85,-0.518282652,0.007421481373273808,-0.5257041333732738
-121.97,44.78,18.00877953,2.483485457348073,15.525294072651928
-126.8,50.0,31.4454155,50.43188183503441,-18.98646633503441
-128.64,48.47,-10.74924183,-10.19994964423512,-0.5492921857648803
-125.2,44.95,-23.75463867,-26.947462912064058,3.1928242420640593
-127.78,47.73,-0.975069642,-0.20286179147923164,-0.7722078505207683
-128.68,48.4,0.947541118,-1.0040387462858757,1.9515798642858757
-128.68,48.43,-10.74924183,-10.455883190598215,-0.2933586394017862
-119.04,39.98,5.891718864,3.5263918193439032,2.365327044656097
-121.54,45.76,-22.93688011,-27.410276373793497,4.4733962637934965
-128.59,47.93,-5.80466938,-5.664600323755542,-0.14006905624445842
-120.0,49.81,-5.302611351,14.937259481140988,-20.239870832140987
-128.71,48.46,-10.74924183,-10.76190997918146,0.012668149181459754
-119.4,40.45,9.464454651,-1.482048923109832,10.946503574109833
-119.34,40.87,-26.55411148,-16.35224230082244,-10.20186917917756
-128.6,47.95,-5.80466938,-5.677509928104664,-0.12715945189533606
-128.71,48.46,-10.74924183,-10.76190997918146,0.012668149181459754
-127.79,47.71,1.003651619,0.31430668125738026,0.6893449377426197
-127.76,47.76,-0.975069642,0.007421481373273808,-0.9824911233732738
-119.89,43.47,14.05619049,11.592672249094273,2.463518240905728
-125.91,47.08,-4.992900848,-12.611754809459034,7.618853961459035
-127.5,40.93,-44.38734818,-42.20888058737281,-2.178467592627186
-127.36,47.78,-4.742084503,-5.793042324820403,1.0509578218204032
-126.9,48.7,-27.44796753,-35.490048446757456,8.042080916757456
-120.34,42.17,52.84307098,17.0388282067798,35.804242773220196
-128.53,47.89,-5.80466938,-4.870723526089584,-0.9339458539104157
-121.14,47.71,56.87098312,32.97773976141706,23.893243358582936
-128.71,48.47,-10.74924183,-10.143515764406212,-0.6057260655937888
-127.78,47.7,1.003651619,0.106769664072972,0.8968819549270279
-128.6,47.92,-5.80466938,-5.137201210922194,-0.6674681690778064
-122.83,38.75,37.64468002,30.655563801257998,6.989116218742005
-124.07,40.02,21.90467262,-7.944612392621932,29.84928501262193
-127.79,47.79,-0.975069642,-0.22915771477252117,-0.7459119272274788
-126.88,48.67,-27.44796753,-32.04972703991739,4.601759509917393
-128.71,48.46,-10.74924183,-10.76190997918146,0.012668149181459754
-120.09,43.51,5.062514305,13.390687080187668,-8.328172775187667
-122.43,44.11,-19.34528923,-28.59337431040724,9.24808508040724
-128.76,48.7,-19.29531097,-19.659052671856077,0.36374170185607824
-128.83,47.89,-10.49689579,-10.95148062960402,0.45458483960402063
