lat,long,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z,bathy
49.62,-129.98,0.81696123,366,523.4315972,564.2472519,2.02973175,2816.350677,2929.908563,-2408
44.68,-125.29,9.1196241,79,156.6650747,168.881356,-66.54668427,3556.955038,3702.253111,-2114
44.66,-125.27,9.1196241,81,156.6650747,168.881356,-66.54668427,3556.955038,3702.253111,-2269
44.66,-125.27,9.1196241,93,156.6650747,168.881356,-66.54668427,3556.955038,3702.253111,-2269
44.66,-125.26,9.1196241,77,156.6650747,168.881356,-66.54668427,3556.955038,3702.253111,-2280
44.66,-125.25,9.1196241,81,156.6650747,168.881356,-66.54668427,3556.955038,3702.253111,-2281
44.66,-125.36,8.9653473,70,158.0072811,170.3282236,-77.86420441,3547.976643,3692.889928,-2846
44.66,-125.35,9.1196241,30,156.6650747,168.881356,-66.54668427,3556.955038,3702.253111,-2810
44.66,-125.35,9.1196241,32,156.6650747,168.881356,-66.54668427,3556.955038,3702.253111,-2810
44.66,-125.35,9.1196241,33,156.6650747,168.881356,-66.54668427,3556.955038,3702.253111,-2810
44.65,-125.35,9.1559649,42,156.3538571,168.5458705,-66.54668427,3559.058875,3704.447112,-2839
45,-125.3,9.0883245,60,156.934615,169.1719142,-38.20376205,3555.139683,3700.359955,-2050
45.01,-125.3,9.0883245,60,156.934615,169.1719142,-38.20376205,3555.139683,3700.359955,-1966
45,-125.31,9.0883245,102,156.934615,169.1719142,-38.20376205,3555.139683,3700.359955,-2038
45,-125.32,9.0883245,84,156.934615,169.1719142,-38.20376205,3555.139683,3700.359955,-1887
44.99,-125.32,9.0883245,85,156.934615,169.1719142,-38.20376205,3555.139683,3700.359955,-1933
44.99,-125.33,9.0883245,88,156.934615,169.1719142,-38.20376205,3555.139683,3700.359955,-1979
44.94,-125.37,8.987608,72,157.8114819,170.1171566,-63.85134125,3549.276884,3694.245894,-2463
44.94,-125.36,8.987608,124,157.8114819,170.1171566,-63.85134125,3549.276884,3694.245894,-2424
44.93,-125.35,9.1318445,72,156.5602136,168.7683181,-38.20376205,3557.662967,3702.99138,-2430
