long,lat,bathy
-127.4979167,45.00208333,-2948
-127.49375,45.00208333,-2951
-127.4895833,45.00208333,-2954
-127.4854167,45.00208333,-2960
-127.48125,45.00208333,-2961
-127.4770833,45.00208333,-2961
-127.4729167,45.00208333,-2961
-127.46875,45.00208333,-2961
-127.4645833,45.00208333,-2962
-127.4604167,45.00208333,-2963
-127.45625,45.00208333,-2965
-127.4520833,45.00208333,-2966
-127.4479167,45.00208333,-2966
-127.44375,45.00208333,-2967
-127.4395833,45.00208333,-2966
-127.4354167,45.00208333,-2966
-127.43125,45.00208333,-2966
-127.4270833,45.00208333,-2966
-127.4229167,45.00208333,-2966
-127.41875,45.00208333,-2967
-127.4145833,45.00208333,-2968
-127.4104167,45.00208333,-2967
-127.40625,45.00208333,-2968
-127.4020833,45.00208333,-2968
-127.3979167,45.00208333,-2968
-127.39375,45.00208333,-2968
-127.3895833,45.00208333,-2968
-127.3854167,45.00208333,-2970
-127.38125,45.00208333,-2968
-127.3770833,45.00208333,-2963
-127.3729167,45.00208333,-2956
-127.36875,45.00208333,-2939
-127.3645833,45.00208333,-2942
-127.3604167,45.00208333,-2939
-127.35625,45.00208333,-2923
-127.3520833,45.00208333,-2906
-127.3479167,45.00208333,-2913
-127.34375,45.00208333,-2911
-127.3395833,45.00208333,-2894
-127.3354167,45.00208333,-2890
-127.33125,45.00208333,-2890
-127.3270833,45.00208333,-2890
-127.3229167,45.00208333,-2895
-127.31875,45.00208333,-2912
-127.3145833,45.00208333,-2943
-127.3104167,45.00208333,-2959
-127.30625,45.00208333,-2999
-127.3020833,45.00208333,-3039
-127.2979167,45.00208333,-3046
-127.29375,45.00208333,-3048
-127.2895833,45.00208333,-3052
-127.2854167,45.00208333,-3055
-127.28125,45.00208333,-2951
-127.2770833,45.00208333,-2918
-127.2729167,45.00208333,-2913
-127.26875,45.00208333,-2904
-127.2645833,45.00208333,-2901
-127.2604167,45.00208333,-2897
-127.25625,45.00208333,-2894
-127.2520833,45.00208333,-2891
-127.2479167,45.00208333,-2891
-127.24375,45.00208333,-2888
-127.2395833,45.00208333,-2885
-127.2354167,45.00208333,-2883
-127.23125,45.00208333,-2881
-127.2270833,45.00208333,-2881
-127.2229167,45.00208333,-2881
-127.21875,45.00208333,-2879
-127.2145833,45.00208333,-2877
-127.2104167,45.00208333,-2876
-127.20625,45.00208333,-2875
-127.2020833,45.00208333,-2874
-127.1979167,45.00208333,-2872
-127.19375,45.00208333,-2872
-127.1895833,45.00208333,-2870
-127.1854167,45.00208333,-2869
-127.18125,45.00208333,-2868
-127.1770833,45.00208333,-2867
-127.1729167,45.00208333,-2865
-127.16875,45.00208333,-2864
-127.1645833,45.00208333,-2862
-127.1604167,45.00208333,-2861
-127.15625,45.00208333,-2860
-127.1520833,45.00208333,-2858
-127.1479167,45.00208333,-2857
-127.14375,45.00208333,-2856
-127.1395833,45.00208333,-2855
-127.1354167,45.00208333,-2854
-127.13125,45.00208333,-2853
-127.1270833,45.00208333,-2852
-127.1229167,45.00208333,-2852
-127.11875,45.00208333,-2852
-127.1145833,45.00208333,-2851
-127.1104167,45.00208333,-2851
-127.10625,45.00208333,-2851
-127.1020833,45.00208333,-2851
-127.0979167,45.00208333,-2852
-127.09375,45.00208333,-2852
-127.0895833,45.00208333,-2855
-127.0854167,45.00208333,-2854
-127.08125,45.00208333,-2855
-127.0770833,45.00208333,-2856
-127.0729167,45.00208333,-2856
-127.06875,45.00208333,-2857
-127.0645833,45.00208333,-2859
-127.0604167,45.00208333,-2853
-127.05625,45.00208333,-2853
-127.0520833,45.00208333,-2851
-127.0479167,45.00208333,-2851
-127.04375,45.00208333,-2851
-127.0395833,45.00208333,-2850
-127.0354167,45.00208333,-2850
-127.03125,45.00208333,-2852
-127.0270833,45.00208333,-2853
-127.0229167,45.00208333,-2845
-127.01875,45.00208333,-2845
-127.0145833,45.00208333,-2847
-127.0104167,45.00208333,-2848
-127.00625,45.00208333,-2849
-127.0020833,45.00208333,-2849
-127.4979167,45.00625,-2961
-127.49375,45.00625,-2962
-127.4895833,45.00625,-2962
-127.4854167,45.00625,-2963
-127.48125,45.00625,-2962
-127.4770833,45.00625,-2964
-127.4729167,45.00625,-2963
-127.46875,45.00625,-2965
-127.4645833,45.00625,-2964
-127.4604167,45.00625,-2965
-127.45625,45.00625,-2966
-127.4520833,45.00625,-2966
-127.4479167,45.00625,-2967
-127.44375,45.00625,-2968
-127.4395833,45.00625,-2968
-127.4354167,45.00625,-2972
-127.43125,45.00625,-2968
-127.4270833,45.00625,-2968
-127.4229167,45.00625,-2969
-127.41875,45.00625,-2969
-127.4145833,45.00625,-2970
-127.4104167,45.00625,-2968
-127.40625,45.00625,-2969
-127.4020833,45.00625,-2970
-127.3979167,45.00625,-2970
-127.39375,45.00625,-2969
-127.3895833,45.00625,-2968
-127.3854167,45.00625,-2967
-127.38125,45.00625,-2960
-127.3770833,45.00625,-2950
-127.3729167,45.00625,-2942
-127.36875,45.00625,-2925
-127.3645833,45.00625,-2921
-127.3604167,45.00625,-2923
-127.35625,45.00625,-2919
-127.3520833,45.00625,-2906
-127.3479167,45.00625,-2908
-127.34375,45.00625,-2904
-127.3395833,45.00625,-2892
-127.3354167,45.00625,-2891
-127.33125,45.00625,-2891
-127.3270833,45.00625,-2893
-127.3229167,45.00625,-2899
-127.31875,45.00625,-2918
-127.3145833,45.00625,-2944
-127.3104167,45.00625,-2964
-127.30625,45.00625,-3041
-127.3020833,45.00625,-3045
